Question;Answer;Incorrects
What is the world's largest continent?;Asia;Africa,Antarctica,North America
What percentage of the River Nile is located in Egypt?;22 %;10%,30%,70%
What body of water separates Africa and Europe?;The Strait of Gibraltar;
What is the only major city located on two continents?;Istanbul;
What is the oldest active volcano on Earth?;Mount Etna;
What is the fastest flowing river in the world?;Amazon;Danube,Nile
What river flows through Paris?;Seine;
Which ocean is Bermuda in?;Atlantic;
What does the ‘DC’ stand for in Washington DC?;District of Columbia;
In 1862, the city of Bucharest became the capital of which country?;Romania;Hungary,Bulgaria,Ukraine
What is the smallest country in the world?;Vatican City;
What city is built entirely upon a series of small islands?;Venice;
Where is Mount Rushmore located?;South Dakota;California,Montana
What is the name of the largest lake in the world?;Lake Superior;
Dracula lived in the historical region of Transylvania. In what country would you find his castle?;Romania;
